"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-29","1.12","0.00","0.0","0.0",,"89","63","  250","  250","8.1","13.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-30","2.24","0.00","0.0","0.0",,"78","61","  140","  180","8.9","16.1","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-05-31","2.01","0.10","0.0","0.0",,"68","63","  160","  160","8.1","13.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-01","0.89","0.27","0.0","0.0",,"81","65","  310","  290","6.9","15.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-02","3.80","0.08","0.0","0.0",,"87","66","   30","   40","14.1","23.0","    1",,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-03","5.82","0.25","0.0","0.0",,"66","51","  110","  130","14.1","23.0","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-04","3.80","0.16","0.0","0.0",,"71","51","   60","   60","12.1","18.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-05","3.80","0.00","0.0","0.0",,"75","58","  280","  270","15.0","25.1","    1",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-06","2.68","0.00","0.0","0.0",,"71","58","   20","  170","8.1","13.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-07","2.46","0.00","0.0","0.0",,"71","60","  170","  160","8.9","17.0",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-08","2.91","0.00","0.0","0.0",,"82","60","  250","  250","8.9","16.1",,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2018-06-09","1.79","0.00","0.0","0.0",,"83","67","   40","   30","8.1","15.0",,,,,
